Código Departamento,Código Municipio,Nombre Departamento,Nombre Municipio
05,05002,Antioquia,Abejorral
41,41006,Huila,Acevedo
41,41013,Huila,Agrado
76,76243,Valle del Cauca,El Águila
20,20011,Cesar,Aguachica
68,68013,Santander,Aguada
17,17013,Caldas,Aguadas
85,85010,Casanare,Aguazul
15,15720,Boyacá,Sativanorte
41,41016,Huila,Aipe
44,44035,La Guajira,Albania
68,68020,Santander,Albania
47,47030,Magdalena,Algarrobo
41,41020,Huila,Algeciras
19,19022,Cauca,Almaguer
73,73024,Tolima,Alpujarra
41,41026,Huila,Altamira
05,05665,Antioquia,San Pedro de Urabá
52,52788,Nariño,Tangua
73,73026,Tolima,Alvarado
05,05031,Antioquia,Amalfi
73,73030,Tolima,Ambalema
25,25035,Cundinamarca,Anapoima
05,05034,Antioquia,Andes
05,05038,Antioquia,Angostura
25,25040,Cundinamarca,Anolaima
17,17042,Caldas,Anserma
76,76041,Valle del Cauca,Ansermanuevo
25,25599,Cundinamarca,Apulo
47,47053,Magdalena,Aracataca
17,17050,Caldas,Aranzazu
68,68051,Santander,Aratoca
81,81001,Arauca,Arauca
81,81065,Arauca,Arauquita
54,54051,Norte de Santander,Arboledas
05,05051,Antioquia,Arboletes
05,05055,Antioquia,Argelia
19,19050,Cauca,Argelia
76,76054,Valle del Cauca,Argelia
05,05059,Antioquia,Armenia
63,63001,Quindio,Armenia
52,52435,Nariño,Mallama
20,20032,Cesar,Astrea
73,73067,Tolima,Ataco
27,27787,Chocó,Tadó
15,15755,Boyacá,Socotá
19,19075,Cauca,Balboa
66,66075,Risaralda,Balboa
41,41078,Huila,Baraya
15,15690,Boyacá,Santa María
18,18479,Caquetá,Morelia
18,18256,Caquetá,El Paujíl
15,15097,Boyacá,Boavita
15,15104,Boyacá,Boyacá
15,15762,Boyacá,Sora
15,15776,Boyacá,Sutamarchán
47,47720,Magdalena,Santa Bárbara de Pinto
13,13655,Bolívar,San Jacinto del Cauca
15,15296,Boyacá,Gámeza
27,27745,Chocó,Sipí
17,17873,Caldas,Villamaría
05,05658,Antioquia,San José la Montaña
18,18756,Caquetá,Solano
05,05647,Antioquia,San Andrés de Cuerquía
20,20443,Cesar,Manaure Balcón del Cesar
17,17088,Caldas,Belalcázar
52,52215,Nariño,Córdoba
18,18029,Caquetá,Albania
70,70670,Sucre,Sampués
47,47268,Magdalena,El Retén
23,23682,Córdoba,San José de Uré
19,19418,Cauca,López de Micay
54,54810,Norte de Santander,Tibú
15,15514,Boyacá,Páez
13,13430,Bolívar,Magangué
68,68229,Santander,Curití
99,99624,Vichada,Santa Rosalía
97,97666,Vaupés,Taraira
47,47288,Magdalena,Fundación
54,54174,Norte de Santander,Chitagá
05,05079,Antioquia,Barbosa
68,68077,Santander,Barbosa
68,68079,Santander,Barichara
73,73001,Tolima,Ibagué
68,68081,Santander,Barrancabermeja
44,44078,La Guajira,Barrancas
23,23300,Córdoba,Cotorra
08,08758,Atlántico,Soledad
20,20045,Cesar,Becerril
05,05172,Antioquia,Chigorodó
15,15814,Boyacá,Toca
05,05088,Antioquia,Bello
05,05086,Antioquia,Belmira
05,05091,Antioquia,Betania
05,05093,Antioquia,Betulia
68,68092,Santander,Betulia
25,25095,Cundinamarca,Bituima
54,54099,Norte de Santander,Bochalema
85,85315,Casanare,Sácama
20,20060,Cesar,Bosconia
68,68001,Santander,Bucaramanga
54,54109,Norte de Santander,Bucarasica
76,76109,Valle del Cauca,Buenaventura
63,63111,Quindio,Buenavista
70,70110,Sucre,Buenavista
27,27245,Chocó,El Carmen de Atrato
76,76113,Valle del Cauca,Bugalagrande
25,25120,Cundinamarca,Cabrera
68,68121,Santander,Cabrera
50,50124,Meta,Cabuyaro
25,25123,Cundinamarca,Cachipay
05,05125,Antioquia,Caicedo
76,76122,Valle del Cauca,Caicedonia
70,70124,Sucre,Caimito
73,73124,Tolima,Cajamarca
95,95015,Guaviare,Calamar
05,05129,Antioquia,Caldas
19,19137,Cauca,Caldono
76,76001,Valle del Cauca,Cali
68,68132,Santander,California
76,76126,Valle del Cauca,Calima
19,19142,Cauca,Caloto
05,05134,Antioquia,Campamento
15,15740,Boyacá,Siachoque
41,41132,Huila,Campoalegre
76,76130,Valle del Cauca,Candelaria
52,52352,Nariño,Iles
68,68147,Santander,Capitanejo
05,05145,Antioquia,Caramanta
05,05147,Antioquia,Carepa
68,68101,Santander,Bolívar
05,05197,Antioquia,Cocorná
27,27077,Chocó,Bajo Baudó
05,05150,Antioquia,Carolina
76,76100,Valle del Cauca,Bolívar
15,15638,Boyacá,Sáchica
76,76147,Valle del Cauca,Cartago
73,73152,Tolima,Casabianca
19,19780,Cauca,Suárez
05,05154,Antioquia,Caucasia
68,68162,Santander,Cerrito
52,52051,Nariño,Arboleda
73,73168,Tolima,Chaparral
68,68169,Santander,Charta
68,68176,Santander,Chima
20,20175,Cesar,Chimichagua
25,25178,Cundinamarca,Chipaque
47,47170,Magdalena,Chivolo
13,13458,Bolívar,Montecristo
68,68190,Santander,Cimitarra
63,63190,Quindio,Circasia
05,05190,Antioquia,Cisneros
41,41807,Huila,Timaná
73,73200,Tolima,Coello
25,25200,Cundinamarca,Cogua
41,41206,Huila,Colombia
70,70204,Sucre,Coloso
05,05209,Antioquia,Concordia
47,47205,Magdalena,Concordia
68,68209,Santander,Confines
27,27615,Chocó,Riosucio
05,05212,Antioquia,Copacabana
19,19212,Cauca,Corinto
68,68217,Santander,Coromoro
70,70215,Sucre,Corozal
25,25214,Cundinamarca,Cota
73,73217,Tolima,Coyaima
85,85139,Casanare,Maní
54,54223,Norte de Santander,Cucutilla
50,50226,Meta,Cumaral
99,99773,Vichada,Cumaribo
73,73226,Tolima,Cunday
05,05234,Antioquia,Dabeiba
76,76233,Valle del Cauca,Dagua
44,44090,La Guajira,Dibulla
73,73236,Tolima,Dolores
66,66170,Risaralda,Dosquebradas
54,54239,Norte de Santander,Durania
15,15686,Boyacá,Santana
05,05809,Antioquia,Titiribí
15,15464,Boyacá,Mongua
05,05885,Antioquia,Yalí
05,05858,Antioquia,Vegachí
23,23570,Córdoba,Pueblo Nuevo
52,52835,Nariño,San Andrés de Tumaco
05,05364,Antioquia,Jardín
25,25053,Cundinamarca,Arbeláez
76,76616,Valle del Cauca,Riofrío
25,25871,Cundinamarca,Villagómez
25,25777,Cundinamarca,Supatá
13,13673,Bolívar,Santa Catalina
05,05480,Antioquia,Mutatá
68,68324,Santander,Guavatá
25,25269,Cundinamarca,Facatativá
18,18592,Caquetá,Puerto Rico
27,27491,Chocó,Nóvita
08,08436,Atlántico,Manatí
52,52480,Nariño,Nariño
15,15693,Boyacá,Santa Rosa de Viterbo
13,13006,Bolívar,Achí
52,52560,Nariño,Potosí
05,05679,Antioquia,Santa Bárbara
27,27073,Chocó,Bagadó
15,15759,Boyacá,Sogamoso
05,05264,Antioquia,Entrerríos
15,15185,Boyacá,Chitaraque
13,13160,Bolívar,Cantagallo
15,15790,Boyacá,Tasco
52,52256,Nariño,El Rosario
68,68235,Santander,El Carmen de Chucurí
66,66045,Risaralda,Apía
52,52786,Nariño,Taminango
68,68720,Santander,Santa Helena del Opón
52,52320,Nariño,Guaitarilla
25,25151,Cundinamarca,Cáqueza
08,08573,Atlántico,Puerto Colombia
15,15276,Boyacá,Floresta
94,94663,Guainía,Mapiripana
15,15248,Boyacá,El Espino
63,63130,Quindio,Calarcá
15,15204,Boyacá,Cómbita
08,08558,Atlántico,Polonuevo
47,47058,Magdalena,Ariguaní
68,68264,Santander,Encino
68,68266,Santander,Enciso
05,05266,Antioquia,Envigado
73,73268,Tolima,Espinal
73,73270,Tolima,Falan
17,17272,Caldas,Filadelfia
63,63272,Quindio,Filandia
73,73275,Tolima,Flandes
19,19290,Cauca,Florencia
76,76275,Valle del Cauca,Florida
68,68276,Santander,Floridablanca
44,44279,La Guajira,Fonseca
81,81300,Arauca,Fortul
25,25281,Cundinamarca,Fosca
15,15212,Boyacá,Coper
05,05282,Antioquia,Fredonia
73,73283,Tolima,Fresno
05,05284,Antioquia,Frontino
27,27025,Chocó,Alto Baudó
25,25286,Cundinamarca,Funza
70,70235,Sucre,Galeras
25,25299,Cundinamarca,Gama
20,20295,Cesar,Gamarra
41,41306,Huila,Gigante
76,76306,Valle del Cauca,Ginebra
05,05306,Antioquia,Giraldo
25,25307,Cundinamarca,Girardot
05,05308,Antioquia,Girardota
15,15317,Boyacá,Guacamayas
54,54313,Norte de Santander,Gramalote
05,05313,Antioquia,Granada
25,25312,Cundinamarca,Granada
50,50313,Meta,Granada
68,68318,Santander,Guaca
08,08560,Atlántico,Ponedera
05,05315,Antioquia,Guadalupe
41,41319,Huila,Guadalupe
68,68320,Santander,Guadalupe
25,25320,Cundinamarca,Guaduas
47,47318,Magdalena,Guamal
50,50318,Meta,Guamal
73,73319,Tolima,Guamo
52,52565,Nariño,Providencia
70,70265,Sucre,Guaranda
05,05318,Antioquia,Guarne
25,25322,Cundinamarca,Guasca
25,25326,Cundinamarca,Guatavita
27,27135,Chocó,El Cantón San Pablo
25,25335,Cundinamarca,Guayabetal
15,15092,Boyacá,Betéitiva
68,68344,Santander,Hato
76,76364,Valle del Cauca,Jamundí
44,44378,La Guajira,Hatonuevo
05,05347,Antioquia,Heliconia
73,73347,Tolima,Herveo
05,05353,Antioquia,Hispania
41,41349,Huila,Hobo
73,73349,Tolima,Honda
73,73352,Tolima,Icononzo
41,41359,Huila,Isnos
05,05361,Antioquia,Ituango
27,27006,Chocó,Acandí
19,19693,Cauca,San Sebastián
15,15368,Boyacá,Jericó
97,97511,Vaupés,Pacoa
15,15226,Boyacá,Cuítiva
94,94887,Guainía,Pana Pana
05,05044,Antioquia,Anzá
97,97889,Vaupés,Yavaraté
52,52473,Nariño,Mosquera
27,27075,Chocó,Bahía Solano
15,15820,Boyacá,Tópaga
52,52418,Nariño,Los Andes
73,73408,Tolima,Lérida
15,15377,Boyacá,Labranzagrande
23,23466,Córdoba,Montelíbano
68,68298,Santander,Gámbita
25,25580,Cundinamarca,Pulí
23,23580,Córdoba,Puerto Libertador
05,05237,Antioquia,Donmatías
05,05756,Antioquia,Sonsón
97,97161,Vaupés,Carurú
15,15664,Boyacá,San José de Pare
23,23670,Córdoba,San Andrés de Sotavento
23,23001,Córdoba,Montería
27,27099,Chocó,Bojayá
52,52323,Nariño,Gualmatán
05,05040,Antioquia,Anorí
52,52411,Nariño,Linares
88,88001,Archipiélago de San Andrés Providencia y Santa Catalina,San Andrés
25,25258,Cundinamarca,El Peñón
27,27495,Chocó,Nuquí
52,52520,Nariño,Francisco Pizarro
99,99001,Vichada,Puerto Carreño
08,08137,Atlántico,Campo de la Cruz
23,23807,Córdoba,Tierralta
52,52079,Nariño,Barbacoas
08,08421,Atlántico,Luruaco
52,52385,Nariño,La Llanada
15,15238,Boyacá,Duitama
13,13490,Bolívar,Norosí
25,25181,Cundinamarca,Choachí
18,18094,Caquetá,Belén de los Andaquíes
23,23068,Córdoba,Ayapel
13,13650,Bolívar,San Fernando
15,15183,Boyacá,Chita
05,05142,Antioquia,Caracolí
94,94888,Guainía,Morichal
18,18205,Caquetá,Curillo
20,20228,Cesar,Curumaní
54,54377,Norte de Santander,Labateca
68,68406,Santander,Lebrija
25,25407,Cundinamarca,Lenguazaque
91,91001,Amazonas,Leticia
05,05411,Antioquia,Liborina
52,52110,Nariño,Buesaco
15,15511,Boyacá,Pachavita
68,68669,Santander,San Andrés
52,52207,Nariño,Consacá
20,20310,Cesar,González
15,15469,Boyacá,Moniquirá
54,54418,Norte de Santander,Lourdes
68,68425,Santander,Macaravita
05,05425,Antioquia,Maceo
25,25430,Cundinamarca,Madrid
44,44430,La Guajira,Maicao
70,70429,Sucre,Majagual
44,44560,La Guajira,Manaure
23,23162,Córdoba,Cereté
17,17001,Caldas,Manizales
25,25436,Cundinamarca,Manta
17,17433,Caldas,Manzanares
19,19809,Cauca,Timbiquí
05,05440,Antioquia,Marinilla
17,17442,Caldas,Marmato
17,17444,Caldas,Marquetalia
66,66440,Risaralda,Marsella
17,17446,Caldas,Marulanda
68,68444,Santander,Matanza
25,25438,Cundinamarca,Medina
18,18785,Caquetá,Solita
95,95001,Guaviare,San José del Guaviare
25,25740,Cundinamarca,Sibaté
73,73449,Tolima,Melgar
19,19450,Cauca,Mercaderes
50,50330,Meta,Mesetas
95,95200,Guaviare,Miraflores
19,19455,Cauca,Miranda
05,05042,Antioquia,Santa Fé de Antioquia
86,86001,Putumayo,Mocoa
68,68464,Santander,Mogotes
68,68468,Santander,Molagavita
05,05467,Antioquia,Montebello
63,63470,Quindio,Montenegro
85,85162,Casanare,Monterrey
19,19473,Cauca,Morales
70,70473,Sucre,Morroa
25,25473,Cundinamarca,Mosquera
73,73461,Tolima,Murillo
54,54480,Norte de Santander,Mutiscua
73,73483,Tolima,Natagaima
17,17486,Caldas,Neira
41,41001,Huila,Neiva
25,25488,Cundinamarca,Nilo
25,25489,Cundinamarca,Nimaima
25,25491,Cundinamarca,Nocaima
17,17495,Caldas,Norcasia
25,25851,Cundinamarca,Útica
13,13836,Bolívar,Turbaco
76,76497,Valle del Cauca,Obando
68,68498,Santander,Ocamonte
68,68500,Santander,Oiba
05,05501,Antioquia,Olaya
13,13052,Bolívar,Arjona
68,68502,Santander,Onzaga
41,41503,Huila,Oporapa
86,86320,Putumayo,Orito
73,73504,Tolima,Ortega
70,70508,Sucre,Ovejas
25,25513,Cundinamarca,Pacho
19,19513,Cauca,Padilla
41,41518,Huila,Paicol
20,20517,Cesar,Pailitas
25,25518,Cundinamarca,Paime
41,41524,Huila,Palermo
17,17524,Caldas,Palestina
41,41530,Huila,Palestina
18,18247,Caquetá,El Doncello
15,15516,Boyacá,Paipa
13,13140,Bolívar,Calamar
15,15533,Boyacá,Paya
19,19001,Cauca,Popayán
76,76036,Valle del Cauca,Andalucía
85,85400,Casanare,Támara
15,15774,Boyacá,Susacón
23,23574,Córdoba,Puerto Escondido
19,19824,Cauca,Totoró
54,54172,Norte de Santander,Chinácota
18,18460,Caquetá,Milán
19,19585,Cauca,Puracé
52,52203,Nariño,Colón
05,05790,Antioquia,Tarazá
15,15646,Boyacá,Samacá
19,19300,Cauca,Guachené
13,13810,Bolívar,Tiquisio
41,41357,Huila,Íquira
25,25293,Cundinamarca,Gachalá
73,73043,Tolima,Anzoátegui
91,91540,Amazonas,Puerto Nariño
52,52621,Nariño,Roberto Payán
68,68861,Santander,Vélez
15,15507,Boyacá,Otanche
08,08296,Atlántico,Galapa
13,13894,Bolívar,Zambrano
05,05045,Antioquia,Apartadó
76,76020,Valle del Cauca,Alcalá
27,27001,Chocó,Quibdó
52,52405,Nariño,Leiva
68,68432,Santander,Málaga
15,15403,Boyacá,La Uvita
68,68370,Santander,Jordán
13,13074,Bolívar,Barranco de Loba
15,15480,Boyacá,Muzo
25,25823,Cundinamarca,Topaipí
54,54344,Norte de Santander,Hacarí
86,86571,Putumayo,Puerto Guzmán
15,15599,Boyacá,Ramiriquí
15,15757,Boyacá,Socha
68,68522,Santander,Palmar
27,27250,Chocó,El Litoral San Juan
25,25839,Cundinamarca,Ubalá
76,76520,Valle del Cauca,Palmira
70,70523,Sucre,Palmito
73,73520,Tolima,Palocabildo
54,54518,Norte de Santander,Pamplona
54,54520,Norte de Santander,Pamplonita
76,76834,Valle del Cauca,Tuluá
25,25524,Cundinamarca,Pandi
25,25530,Cundinamarca,Paratebueno
25,25535,Cundinamarca,Pasca
11,11001,Bogotá d C.,Bogotá D.C.
68,68780,Santander,Suratá
47,47541,Magdalena,Pedraza
20,20550,Cesar,Pelaya
17,17541,Caldas,Pensilvania
05,05543,Antioquia,Peque
66,66001,Risaralda,Pereira
19,19533,Cauca,Piamonte
68,68547,Santander,Piedecuesta
73,73547,Tolima,Piedras
63,63548,Quindio,Pijao
05,05541,Antioquia,Peñol
68,68549,Santander,Pinchote
41,41548,Huila,Pital
41,41551,Huila,Pitalito
47,47551,Magdalena,Pivijay
73,73555,Tolima,Planadas
73,73585,Tolima,Purificación
47,47555,Magdalena,Plato
85,85263,Casanare,Pore
76,76563,Valle del Cauca,Pradera
73,73563,Tolima,Prado
68,68211,Santander,Contratación
27,27600,Chocó,Río Quito
08,08549,Atlántico,Piojó
05,05576,Antioquia,Pueblorrico
47,47570,Magdalena,Puebloviejo
15,15001,Boyacá,Tunja
05,05873,Antioquia,Vigía del Fuerte
25,25317,Cundinamarca,Guachetá
68,68689,Santander,San Vicente de Chucurí
25,25899,Cundinamarca,Zipaquirá
15,15816,Boyacá,Togüí
52,52696,Nariño,Santa Bárbara
52,52356,Nariño,Ipiales
52,52227,Nariño,Cumbal
13,13433,Bolívar,Mahates
47,47545,Magdalena,Pijiño del Carmen
15,15806,Boyacá,Tibasosa
25,25324,Cundinamarca,Guataquí
08,08606,Atlántico,Repelón
15,15131,Boyacá,Caldas
13,13600,Bolívar,Río Viejo
20,20178,Cesar,Chiriguaná
52,52001,Nariño,Pasto
15,15332,Boyacá,Güicán
13,13744,Bolívar,Simití
15,15839,Boyacá,Tutazá
05,05004,Antioquia,Abriaquí
52,52885,Nariño,Yacuanquer
70,70742,Sucre,San Luis de Sincé
15,15673,Boyacá,San Mateo
05,05475,Antioquia,Murindó
47,47960,Magdalena,Zapayán
15,15476,Boyacá,Motavita
15,15810,Boyacá,Tipacoque
88,88564,Archipiélago de San Andrés Providencia y Santa Catalina,Providencia
52,52381,Nariño,La Florida
13,13222,Bolívar,Clemencia
25,25592,Cundinamarca,Quebradanegra
25,25594,Cundinamarca,Quetame
63,63594,Quindio,Quimbaya
25,25596,Cundinamarca,Quipile
54,54599,Norte de Santander,Ragonvalia
85,85279,Casanare,Recetor
05,05604,Antioquia,Remedios
47,47605,Magdalena,Remolino
50,50606,Meta,Restrepo
76,76606,Valle del Cauca,Restrepo
05,05607,Antioquia,Retiro
25,25612,Cundinamarca,Ricaurte
91,91460,Amazonas,Mirití Paraná
27,27810,Chocó,Unión Panamericana
15,15660,Boyacá,San Eduardo
52,52260,Nariño,El Tambo
73,73616,Tolima,Rioblanco
44,44001,La Guajira,Riohacha
05,05615,Antioquia,Rionegro
68,68615,Santander,Rionegro
17,17614,Caldas,Riosucio
17,17616,Caldas,Risaralda
41,41615,Huila,Rivera
70,70221,Sucre,Coveñas
76,76622,Valle del Cauca,Roldanillo
73,73622,Tolima,Roncesvalles
19,19622,Cauca,Rosas
73,73624,Tolima,Rovira
05,05030,Antioquia,Amagá
05,05628,Antioquia,Sabanalarga
85,85300,Casanare,Sabanalarga
41,41298,Huila,Garzón
05,05631,Antioquia,Sabaneta
41,41660,Huila,Saladoblanco
17,17653,Caldas,Salamina
47,47675,Magdalena,Salamina
54,54660,Norte de Santander,Salazar
63,63690,Quindio,Salento
05,05642,Antioquia,Salgar
23,23672,Córdoba,San Antero
27,27425,Chocó,Medio Atrato
44,44098,La Guajira,Distracción
13,13647,Bolívar,San Estanislao
25,25148,Cundinamarca,Caparrapí
23,23586,Córdoba,Purísima de la Concepción
27,27361,Chocó,Istmina
52,52210,Nariño,Contadero
15,15425,Boyacá,Macanal
